Date,Exercise,Category,Weight_lbs,Reps,Volume,1RM,Workout_Type
6/5/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/5/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/5/2022,Barbell Overhead Press,Push,50,4,200,54.54942178,Strength
6/5/2022,Barbell Row,Pull,50,5,250,56.25562556,Strength
6/5/2022,Barbell Row,Pull,55,5,275,61.88118812,Strength
6/5/2022,Barbell Row,Pull,60,5,300,67.50675068,Strength
6/5/2022,Barbell Bench Press,Push,50,5,250,56.25562556,Strength
6/5/2022,Barbell Bench Press,Push,50,5,250,56.25562556,Strength
6/5/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/7/2022,Barbell Deadlift,Hinge,85,4,340,92.73401702,Strength
6/7/2022,Barbell Deadlift,Hinge,85,4,340,92.73401702,Strength
6/7/2022,Barbell Deadlift,Hinge,85,4,340,92.73401702,Strength
6/7/2022,Barbell Deadlift,Hinge,95,2,190,97.71651923,Strength
6/7/2022,Barbell Squat,Legs,45,5,225,50.63006301,Strength
6/7/2022,Barbell Squat,Legs,50,5,250,56.25562556,Strength
6/7/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/7/2022,Barbell Squat,Legs,60,3,180,63.53240152,Strength
6/9/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/9/2022,Barbell Overhead Press,Push,50,4,200,54.54942178,Strength
6/9/2022,Barbell Overhead Press,Push,50,4,200,54.54942178,Strength
6/9/2022,Barbell Row,Pull,55,5,275,61.88118812,Strength
6/9/2022,Barbell Row,Pull,55,5,275,61.88118812,Strength
6/9/2022,Barbell Row,Pull,60,5,300,67.50675068,Strength
6/9/2022,Barbell Bench Press,Push,50,5,250,56.25562556,Strength
6/9/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/9/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/9/2022,Barbell Overhead Press,Push,45,6,270,52.26480836,Strength
6/9/2022,Barbell Row,Pull,60,5,300,67.50675068,Strength
6/9/2022,Barbell Bench Press,Push,50,6,300,58.07200929,Strength
6/11/2022,Barbell Deadlift,Hinge,75,5,375,84.38343834,Strength
6/11/2022,Barbell Deadlift,Hinge,80,5,400,90.0090009,Strength
6/11/2022,Barbell Deadlift,Hinge,80,5,400,90.0090009,Strength
6/11/2022,Barbell Deadlift,Hinge,80,5,400,90.0090009,Strength
6/11/2022,Barbell Deadlift,Hinge,85,5,425,95.63456346,Strength
6/11/2022,Barbell Squat,Legs,50,5,250,56.25562556,Strength
6/11/2022,Barbell Squat,Legs,50,5,250,56.25562556,Strength
6/11/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/11/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/11/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/12/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/12/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/12/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/12/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/12/2022,Barbell Row,Pull,55,5,275,61.88118812,Strength
6/12/2022,Barbell Row,Pull,55,5,275,61.88118812,Strength
6/12/2022,Barbell Row,Pull,60,5,300,67.50675068,Strength
6/12/2022,Barbell Row,Pull,60,5,300,67.50675068,Strength
6/12/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/12/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/12/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/12/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/12/2022,Barbell Overhead Press,Push,45,5,225,50.63006301,Strength
6/12/2022,Barbell Row,Pull,65,3,195,68.82676832,Strength
6/12/2022,Barbell Bench Press,Push,55,5,275,61.88118812,Strength
6/15/2022,Barbell Deadlift,Hinge,88,5,440,99.00990099,Strength
6/15/2022,Barbell Deadlift,Hinge,88,5,440,99.00990099,Strength
6/15/2022,Barbell Deadlift,Hinge,88,5,440,99.00990099,Strength
6/15/2022,Barbell Deadlift,Hinge,88,5,440,99.00990099,Strength
6/15/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/15/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/15/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/15/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/15/2022,Barbell Deadlift,Hinge,83,8,664,103.0543829,Strength
6/15/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/18/2022,Barbell Deadlift,Hinge,90,5,450,101.260126,Strength
6/18/2022,Barbell Deadlift,Hinge,90,5,450,101.260126,Strength
6/18/2022,Barbell Deadlift,Hinge,90,5,450,101.260126,Strength
6/18/2022,Barbell Deadlift,Hinge,95,3,285,100.5929691,Strength
6/18/2022,Barbell Deadlift,Hinge,95,3,285,100.5929691,Strength
6/18/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/18/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/18/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/18/2022,Barbell Squat,Legs,60,5,300,67.50675068,Strength
6/18/2022,Barbell Squat,Legs,55,5,275,61.88118812,Strength
6/19/2022,Barbell Bench Press,Push,55,6,330,63.87921022,Strength
6/19/2022,Barbell Bench Press,Push,55,6,330,63.87921022,Strength
6/19/2022,Barbell Bench Press,Push,55,6,330,63.87921022,Strength
6/19/2022,Barbell Bench Press,Push,55,6,330,63.87921022,Strength
6/19/2022,Barbell Row,Pull,60,6,360,69.68641115,Strength
6/19/2022,Barbell Row,Pull,60,6,360,69.68641115,Strength
6/19/2022,Barbell Row,Pull,60,6,360,69.68641115,Strength
6/19/2022,Barbell Row,Pull,60,6,360,69.68641115,Strength
